"","C_ven_1.1","C_ven_1.2","C_ven_1.3","C_ven_1.4"
"1",0.00025453,0.000277613,0.000243464,0.000154958
"2",0.000230603,0.000247302,0.00021893,0.000143755
"3",0.000259502,0.000278681,0.000239623,0.000152027
"4",0.000262204,0.000275886,0.000230723,0.000139104
"5",0.000247321,0.000263684,0.000234767,0.000152043
"6",0.000260536,0.000272931,0.000228989,0.000143693
"7",0.00026638,0.000281097,0.00023546,0.000144752
"8",0.000266875,0.00027414,0.000223553,0.00013979
"9",0.000274651,0.000283547,0.000231272,0.000142303
"10",0.000271615,0.000281498,0.000228358,0.000138861
"11",0.000272231,0.000281834,0.000230476,0.000143539
"12",0.000260986,0.00027294,0.000228092,0.000143379
"13",0.000277541,0.000289721,0.000243845,0.000155955
"14",0.000261885,0.000272219,0.000232151,0.000151429
"15",0.000265367,0.000268235,0.000220253,0.000136562
"16",0.00026307,0.00026064,0.000205385,0.000121813
"17",0.000245516,0.000244401,0.000198129,0.000123846
"18",0.000278719,0.000288757,0.000243614,0.00015873
"19",0.000254431,0.000250293,0.00019972,0.000128399
"20",0.000265565,0.00026506,0.000208494,0.000127226
"21",0.000284359,0.000289607,0.000241121,0.000156602
"22",0.000272723,0.000284296,0.000239885,0.000150821
"23",0.000246565,0.00025142,0.000213122,0.000133871
"24",0.000262631,0.000266131,0.000219884,0.00013605
"25",0.000258944,0.0002608,0.0002156,0.000134287
"26",0.00026252,0.000265641,0.000222922,0.000141412
"27",0.000254342,0.000258254,0.000219095,0.000139756
"28",0.000264227,0.000268431,0.000229633,0.00014414
"29",0.000262992,0.000275228,0.000243705,0.000162224
"30",0.000245989,0.000253869,0.000221117,0.00014564
"31",0.000242319,0.000252911,0.000218958,0.000144396
"32",0.00024759,0.000259159,0.000221171,0.000142671
"33",0.000247597,0.000257009,0.000215779,0.000138343
"34",0.000253032,0.000260371,0.000211141,0.000128729
"35",0.000288236,0.000298061,0.000240114,0.000144988
"36",0.000283092,0.000279645,0.00022725,0.000152628
"37",0.000318774,0.000301279,0.00024055,0.000159251
"38",0.000267903,0.000251873,0.000202865,0.000136558
"39",0.000302265,0.000287123,0.000225415,0.000147806
"40",0.000284999,0.000290547,0.000229361,0.000140226
"41",0.000260287,0.000262126,0.000211422,0.000137307
"42",0.00026049,0.000262109,0.000215757,0.000143364
"43",0.000262446,0.000261589,0.000213018,0.000138487
"44",0.000259234,0.000256751,0.000201309,0.000122004
"45",0.000254103,0.000264285,0.00022544,0.000144999
"46",0.000247159,0.000257932,0.000218805,0.000139441
"47",0.000242979,0.000256963,0.000224909,0.000145956
"48",0.000262844,0.000270905,0.000225048,0.000142429
"49",0.000245731,0.000252206,0.000209846,0.000130417
"50",0.000262224,0.000271697,0.000221982,0.000133212
"51",0.00026857,0.000280141,0.000232383,0.000140619
"52",0.000271306,0.000284728,0.000241276,0.00014515
"53",0.000269263,0.000281103,0.000234918,0.000141029
"54",0.000262217,0.000269547,0.000222946,0.000132732
"55",0.000244944,0.000253046,0.000211693,0.000128907
"56",0.00025266,0.000260722,0.00021826,0.000139609
"57",0.000292796,0.000298599,0.000237152,0.000138901
"58",0.000260567,0.000271275,0.000226363,0.000132111
"59",0.0002913,0.000307085,0.000258696,0.000155544
"60",0.000285151,0.000290468,0.00024828,0.000146828
"61",0.000287022,0.000293427,0.000250524,0.000148316
"62",0.000247988,0.000255764,0.000218093,0.00012845
"63",0.000270123,0.000280207,0.000239411,0.000139956
"64",0.000250166,0.000259043,0.000220106,0.000130697
"65",0.00026046,0.00026169,0.000216828,0.000127914
